date,idx
201009,56.811378955808
201010,56.706941251869
201011,56.650083215677
201012,56.689906582899
201101,56.778242046415
201102,56.949151631169
201103,57.032290820587
201104,57.03587980139
201105,56.987984539076
201106,56.921124688854
201107,56.828991276758
201108,56.766838232748
201109,56.705197512807
201110,56.632501102682
201111,56.530390570944
201112,56.439877371532
201201,56.348193039236
201202,56.269887266617
201203,56.130276601202
201204,55.886637191156
201205,55.739906860585
201206,55.568804123897
201207,55.270351979121
201208,55.011269805499
201209,54.655914589648
201210,54.324397985384
201211,54.109573824532
201212,53.911665137247
201301,53.709927171958
201302,53.569348612038
201303,53.431684857977
201304,53.363864192746
201305,53.334909281594
201306,53.223793930948
201307,53.047449347418
201308,52.895013819858
201309,52.868028447805
201310,52.917644558331
201311,52.922986915213
201312,52.921818635616
201401,52.939102281594
201402,53.006804363966
201403,53.130670768634
201404,53.173514402055
201405,53.15643247551
201406,53.103978845302
201407,53.100638909217
201408,53.116583431384
201409,53.281185657097
201410,53.436743456157
201411,53.490853759938
201412,53.499335789003
201501,53.544580773292
201502,53.647456183578
201503,53.902317238365
201504,54.198028521939
201505,54.408930934604
201506,54.678140443558
201507,54.93377213284
201508,55.23622249239
201509,55.640774958762
201510,55.915875835605
201511,56.295791040839
201512,56.474383542879
201601,56.538294562491
201602,56.621627207346
201603,56.661799780461
201604,56.72889618128
201605,56.887287459658
201606,57.114258644767
201607,57.424679112423
201608,57.746376971203
201609,57.99788910688
201610,58.414013101945
201611,58.799688965956
201612,58.858032762077
201701,58.874590970794
201702,58.897178164967
201703,58.956081353543
201704,59.037166787169
201705,59.166917533329
201706,59.671748432178
201707,60.184224617919
201708,60.81651614802
201709,60.907338419846
201710,61.179086925788
201711,61.558236549585
201712,61.965056235431
201801,62.661104072116
201802,63.278824468798
201803,64.072450389949
201804,64.592619865161
201805,64.849823772379
201806,65.102236256924
201807,65.44626804506
201808,66.211202646601
201809,68.749626279153
201810,70.013544971801
201811,70.290163468409
201812,70.366537860253
201901,70.345197718138
201902,70.280567289772
201903,70.161766754739
201904,70.060545585135
201905,70.017871605124
201906,69.964592113088
201907,70.223251863847
201908,70.506132546902
201909,70.821640589493
201910,71.231505726802
201911,71.632327358567
201912,72.399142248653
202001,72.881505940055
202002,73.256844057649
202003,73.793043983864
202004,73.906716892806
202005,73.906038309722
202006,74.288718112766
202007,75.877428898669
202008,77.435266537037
202009,78.980663218141
202010,79.568838721639
202011,80.79356147632
202012,81.857055363892
202101,83.1690808429
202102,84.49939843118
202103,85.624676623265
202104,86.439764283691
202105,87.310730746959
202106,88.759654649672
202107,89.897774559846
202108,91.330227578426
202109,92.876399499279
202110,93.848206445656
202111,94.841977136674
202112,95.27907189211
202201,95.501102424237
202202,95.588971126306
202203,95.641167206085
202204,95.745870212946
202205,95.948970799042
202206,96.077246341009
202207,96.110528673465
202208,95.970835409814
202209,95.784937885007
202210,95.144813723693
202211,93.797820853143
202212,92.454160152528
202301,90.519810154549
202302,89.436346739493
202303,88.389057124958
202304,87.532190998931
202305,86.766705802783
202306,86.519586270489
202307,86.323095683562
202308,86.274344191408
202309,86.502878498259
202310,86.702552685679
202311,86.735525316463
202312,86.643839916179
202401,86.477322182261
202402,86.373148406315
202403,86.244825251318
202404,86.101885815425
202405,86.074989287189
202406,86.181728638653
202407,86.663657170974
202408,87.436378715142
202409,88.199496028498
202410,88.640283249159
202411,88.893174935698
202412,89.106862556171
202501,89.164197609769
202502,89.219803570926
202503,89.797080567023
202504,90.681077876853
202505,91.236227034304
202506,92.538788432667
202507,93.726507511375
202508,94.284514294929
202509,95.054953114638
202510,96.440742377294
202511,98.096077602821
202512,99.138004473186
202601,100.0
202602,101.33613707974
202603,102.784070446069
202604,103.8165629402
202605,104.679722947
202606,105.7983526197
