ticker,kind,date,price,dev_pct_vs_center
MCD,low,2026-06-22,270.1000061035156,-0.14126150234515789
MCD,high,2022-01-06,243.0835723876953,0.07666934932205449
MCD,high,2023-05-02,276.26678466796875,0.10946292604133623
MCD,high,2023-06-30,278.050048828125,0.10328768746138528
MCD,high,2024-10-18,303.726806640625,0.09382673103897443
MCD,high,2026-02-27,336.8805847167969,0.09643687522848299
CL,low,2022-03-18,65.19696807861328,-0.07239301373520968
CL,low,2022-10-10,62.579833984375,-0.13927349718327042
CL,low,2023-10-11,64.56257629394531,-0.16385082515899152
CL,low,2025-02-06,83.1030044555664,-0.006041965986674835
CL,low,2025-11-03,74.06336975097656,-0.15261622662612506
CL,high,2021-07-26,75.06898498535156,0.11012846075009763
CL,high,2022-08-19,76.09555053710938,0.05560681823820923
CL,high,2024-06-21,92.8721694946289,0.15360215341116157
CL,high,2024-09-04,104.38201904296876,0.2806843179921179
CL,high,2026-02-27,98.52767181396484,0.10599696849808216
KMB,low,2022-03-11,99.55989837646484,-0.12983542847439
KMB,low,2022-10-07,94.52488708496094,-0.17432127344579706
KMB,low,2023-10-27,104.51569366455078,-0.08802194014986797
KMB,low,2025-01-10,116.50580596923828,0.015362687897934935
KMB,low,2026-04-07,91.78924560546876,-0.20104378542362955
KMB,high,2022-04-25,121.54218292236328,0.06216009075755147
KMB,high,2023-04-27,128.56341552734375,0.12237996605304446
KMB,high,2024-06-18,130.3616180419922,0.13676474937376493
KMB,high,2025-03-10,139.21141052246094,0.21304708480049883
KMB,high,2025-08-07,130.38619995117188,0.13567596664005488
JNJ,low,2021-11-30,137.17022705078125,-0.016458501358831312
JNJ,low,2023-03-22,137.3493194580078,-0.09035785478369562
JNJ,low,2024-04-30,135.5187225341797,-0.1610029314473419
JNJ,low,2025-01-10,136.32766723632812,-0.19107593590311212
JNJ,low,2025-06-26,148.30445861816406,-0.14413892464388756
JNJ,high,2022-04-25,164.68167114257812,0.152449186790365
JNJ,high,2022-06-24,162.42527770996094,0.12536117609001263
JNJ,high,2023-07-28,159.85116577148438,0.036346587451738355
JNJ,high,2024-09-04,159.328369140625,-0.03423444773962525
JNJ,high,2026-03-02,247.13868713378903,0.3683154508035813
PM,low,2022-03-11,72.78893280029297,-0.019824133200066485
PM,low,2023-06-05,78.79656982421875,-0.15833109553295843
PM,low,2024-04-15,81.89141845703125,-0.2559446652021121
PM,low,2024-07-01,94.80138397216795,-0.17204809567822998
PM,low,2026-04-21,153.25,-0.04591378795665235
PM,high,2021-09-03,84.6882095336914,0.2566718361724949
PM,high,2022-06-24,85.83541107177734,0.09517310114092226
PM,high,2023-07-13,89.1064224243164,-0.06660319915171953
PM,high,2025-06-13,178.0220489501953,0.3009447416554052
PM,high,2025-06-24,178.17657470703125,0.29473797983123884
